PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
258,12,SAMAJE PERINE,DEN,174,286,252.6,21.6
259,12,AT PERRY,NO,201,365,259.7,25.5
260,12,DENVER BRONCOS,DEN,160,350,243.0,39.8
261,12,JELANI WOODS,IND,157,305,255.9,28.6
262,12,TYLER HIGBEE,LAR,189,349,260.9,32.2
263,12,GARDNER MINSHEW,LV,146,355,264.7,40.9
264,12,DJ CHARK,LAC,196,337,263.3,28.8
265,12,JOSH REYNOLDS,DEN,222,312,268.4,19.6
266,12,JALEN MCMILLAN,TB,153,306,258.1,27.9
267,12,KJ OSBORN,NE,177,330,263.9,24.2
268,12,ALEC PIERCE,IND,198,374,264.3,27.9
269,12,CINCINNATI BENGALS,CIN,160,355,259.9,42.5
270,12,TREY PALMER,TB,179,353,268.5,22.8
271,12,DETROIT LIONS,DET,189,354,257.6,35.6
272,12,DEVONTEZ WALKER,BAL,231,346,264.1,19.7
273,12,DANIEL CARLSON,LV,190,332,263.4,33.1
274,12,CEDRIC TILLMAN,CLE,207,320,269.2,22.7
275,12,WILL SHIPLEY,PHI,219,328,272.9,24.0
276,12,JACKSONVILLE JAGUARS,JAC,184,318,243.8,38.2
277,12,ANDREI IOSIVAS,CIN,226,375,273.5,25.1
278,12,DEUCE VAUGHN,DAL,237,406,281.5,21.8
279,12,BLAKE GRUPE,NO,182,332,280.7,30.9
280,12,EVAN HULL,IND,176,320,280.2,27.8
281,12,MICHAEL GALLUP,LV,188,370,277.0,32.8
282,13,JONNU SMITH,MIA,137,335,235.2,43.3
283,13,GREG DULCICH,DEN,143,341,249.7,40.8
284,13,ZACH ERTZ,WAS,135,319,256.8,41.7
285,13,MICHAEL CARTER,ARI,236,405,281.1,23.4
286,13,SAM DARNOLD,MIN,138,332,293.2,32.7
287,13,LUKE MCCAFFREY,WAS,146,324,259.5,43.9
288,13,JEFFERY WILSON,MIA,221,341,286.8,20.7
289,13,DYLAN LAUBE,LV,174,325,277.9,32.3
290,13,KADARIUS TONEY,KC,217,364,288.9,23.6
291,13,NOAH BROWN,HOU,200,338,287.4,17.0
292,13,CHRISTOPHER RODRIGUEZ,WAS,234,358,294.0,23.3
293,13,MICHAEL THOMAS,FA,162,349,272.9,37.3
294,13,BRENDEN RICE,LAC,238,378,280.4,31.0
