PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
51,6,TREY MCBRIDE,ARI,10.7,0.0,0.0,4.8,48.5,0.2,0.0,0.0,0.0
52,6,TEE HIGGINS,CIN,11.5,0.0,0.0,3.5,54.7,0.4,0.0,0.0,0.0
53,6,CHRISTIAN KIRK,JAC,12.5,0.0,0.0,4.8,65.6,0.3,0.1,0.5,0.0
54,6,KEENAN ALLEN,CHI,21.5,0.0,0.0,8.3,95.6,0.5,0.2,0.5,0.0
55,6,GEORGE PICKENS,PIT,12.3,0.0,0.0,3.7,67.1,0.3,0.2,1.1,0.0
56,6,MARK ANDREWS,BAL,13.5,0.0,0.0,4.5,54.4,0.6,0.1,0.0,0.0
57,6,KENNETH WALKER,SEA,13.3,0.0,0.0,1.9,17.3,0.1,14.6,60.3,0.5
58,6,TERRY MCLAURIN,WAS,12.0,0.0,0.0,4.6,58.9,0.2,0.0,0.0,0.0
59,6,JOE BURROW,CIN,15.3,230.9,1.5,0.0,0.0,0.0,3.1,8.8,0.0
60,6,NATHANIEL DELL,HOU,15.0,0.0,0.0,4.3,64.5,0.6,1.0,4.6,0.0
61,6,DAK PRESCOTT,DAL,20.7,265.6,2.1,0.0,0.0,0.0,3.2,14.2,0.1
62,6,KYLER MURRAY,ARI,18.9,224.9,1.3,0.0,0.0,0.0,5.5,30.5,0.4
63,6,CHRIS GODWIN,TB,12.3,0.0,0.0,4.9,60.2,0.1,0.2,2.2,0.1
64,6,AARON JONES,MIN,12.3,0.0,0.0,2.7,21.2,0.1,12.9,59.6,0.2
65,6,RHAMONDRE STEVENSON,NE,12.1,0.0,0.0,3.2,19.8,0.0,13.0,51.6,0.3
66,7,DALTON KINCAID,BUF,9.4,0.0,0.0,4.6,42.1,0.1,0.0,0.0,0.0
67,7,JAMES CONNER,ARI,15.5,0.0,0.0,2.1,12.7,0.2,16.0,80.0,0.5
68,7,JORDAN LOVE,GB,19.4,244.6,1.9,0.0,0.0,0.0,2.9,14.5,0.2
69,7,DAVID MONTGOMERY,DET,14.8,0.0,0.0,1.1,8.4,0.0,15.6,72.5,0.9
70,7,DIONTAE JOHNSON,CAR,11.7,0.0,0.0,3.9,55.2,0.4,0.0,0.0,0.0
71,7,CALVIN RIDLEY,TEN,13.5,0.0,0.0,4.5,59.8,0.5,0.5,1.4,0.0
72,7,EVAN ENGRAM,JAC,13.5,0.0,0.0,6.7,56.6,0.2,0.0,0.0,0.0
73,7,RASHEE RICE,KC,13.3,0.0,0.0,4.9,58.6,0.4,0.1,-0.2,0.0
74,7,ZAMIR WHITE,LV,4.9,0.0,0.0,1.0,6.5,0.0,6.9,30.1,0.1
75,7,DANDRE SWIFT,CHI,12.5,0.0,0.0,2.4,13.4,0.1,14.3,65.6,0.3
76,7,JAYDEN REED,GB,13.6,0.0,0.0,4.0,49.6,0.5,0.7,7.4,0.1
77,7,BROCK PURDY,SF,19.2,267.5,1.9,0.0,0.0,0.0,2.4,9.0,0.1
78,7,JAYLEN WARREN,PIT,11.6,0.0,0.0,3.6,21.8,0.0,8.8,46.1,0.2
