PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
296,13,CHRISTOPHER RODRIGUEZ,WAS,37.9,0,0,2,12,0,51,247,2
297,13,GREG ZUERLEIN,NYJ,143,0,0,0,0,0,0,0,0
298,13,DANIEL BELLINGER,NYG,50.5,0,0,25,255,0,0,0,0
299,13,BRENDEN RICE,LAC,0,0,0,0,0,0,0,0,0
300,13,JEFFERY WILSON,MIA,41.3,0,0,14,85,0,41,188,0
301,13,ERIC GRAY,NYG,13,0,0,6,22,0,17,48,0
302,13,PIERRE STRONG,CLE,42.8,0,0,5,47,0,63,291,1
303,13,GREG DORTCH,ARI,64.5,0,0,24,280,2,1,5,0
304,13,GREEN BAY PACKERS,GB,115,0,0,0,0,0,0,0,0
305,13,JACOBY BRISSETT,NE,22.9,224,3,0,0,0,3,19,0
306,13,COLBY PARKINSON,LAR,61.7,0,0,25,247,2,0,0,0
307,13,CHASE EDMONDS,TB,39.7,0,0,14,81,0,49,176,0
308,13,ISRAEL ABANIKANDA,NYJ,16.3,0,0,7,43,0,22,70,0
309,13,EMARI DEMERCADO,ARI,73.3,0,0,21,119,0,58,284,2
310,13,NEW ENGLAND PATRIOTS,NE,109,0,0,0,0,0,0,0,0
311,13,MICHAEL THOMAS,FA,89.8,0,0,39,448,1,0,0,0
312,13,THEO JOHNSON,NYG,0,0,0,0,0,0,0,0,0
313,13,JALEN TOLBERT,DAL,58.8,0,0,22,268,2,0,0,0
314,13,JACOB COWING,SF,0,0,0,0,0,0,0,0,0
315,13,TYLER SCOTT,CHI,35.9,0,0,17,168,0,7,41,0
316,13,HAYDEN HURST,LAC,42.4,0,0,18,184,1,0,0,0
317,13,ROBERT WOODS,HOU,89.3,0,0,40,426,1,1,7,0
318,13,LAS VEGAS RAIDERS,LV,146,0,0,0,0,0,0,0,0
319,13,JERICK MCKINNON,FA,84.4,0,0,25,192,4,21,60,1
320,13,MICHAEL PENIX,ATL,0,0,0,0,0,0,0,0,0
321,13,KAREEM HUNT,FA,118.5,0,0,15,84,0,135,411,9
322,13,CAM AKERS,HOU,46.7,0,0,11,70,0,60,167,2
323,13,RONNIE RIVERS,LAR,20.1,0,0,5,22,0,32,129,0
324,13,ISAIAH SPILLER,LAC,19,0,0,6,34,0,37,96,0
325,13,SALVON AHMED,MIA,42.9,0,0,16,88,1,22,61,1
326,13,CHATARIUS ATWELL,LAR,112.4,0,0,39,483,3,5,31,0
327,14,RASHEEN ALI,BAL,0,0,0,0,0,0,0,0,0
328,14,KALIF RAYMOND,DET,97.4,0,0,35,489,1,7,75,0
329,14,MALIK WASHINGTON,MIA,0,0,0,0,0,0,0,0,0
330,14,DALVIN COOK,FA,40.2,0,0,15,78,0,67,214,0
331,14,TRE TUCKER,LV,71.8,0,0,19,331,2,10,77,0
332,14,JOSHUA KELLEY,FA,61.7,0,0,8,32,0,107,405,2
333,14,NELSON AGHOLOR,BAL,97.1,0,0,35,381,4,0,0,0
334,14,BO MELTON,GB,45.9,0,0,16,218,1,3,21,0
335,14,MARQUEZ VALDES-SCANTLING,BUF,56.5,0,0,21,315,1,0,0,0
336,14,ROYCE FREEMAN,DAL,46.2,0,0,1,13,0,77,319,2
337,14,DENERIC PRINCE,KC,0,0,0,0,0,0,0,0,0
338,14,SAM HOWELL,SEA,278.5,3946,21,0,0,0,48,263,5
339,14,JUJU SMITH-SCHUSTER,NE,61,0,0,29,260,1,0,0,0
340,14,DONALD PARHAM,LAC,79.5,0,0,27,285,4,0,0,0
341,14,LOGAN THOMAS,SF,126.8,0,0,55,496,4,1,2,0
342,14,ALLEN LAZARD,NYJ,60.1,0,0,23,311,1,0,0,0
343,14,MATT BREIDA,FA,46.9,0,0,17,88,0,55,151,1
344,14,CALVIN AUSTIN,PIT,52.7,0,0,17,180,1,11,57,1
345,14,DONOVAN PEOPLES-JONES,DET,28.5,0,0,13,155,0,0,0,0
346,14,VAN JEFFERSON,PIT,41.3,0,0,20,209,0,1,4,0
