RK,TIERS,PLAYER NAME,TEAM,FAN PTS
403,15,NICK WESTBROOK,TEN,57
404,15,KENNY MCINTOSH,SEA,0
405,15,RILEY PATTERSON,JAC,93
406,15,TOMMY TREMBLE,CAR,37.4
407,15,JASE MCCLELLAN,ATL,0
408,15,ADAM TRAUTMAN,DEN,38.4
409,15,ZACH WILSON,DEN,126.9
410,15,CHASE CLAYPOOL,BUF,13.7
411,15,JAKE BROWNING,CIN,150.4
412,15,SEAN TUCKER,TB,3.2
413,15,DARNELL WASHINGTON,PIT,6.1
414,15,DAVIS ALLEN,LAR,15.5
415,15,XAVIER HUTCHINSON,HOU,13.9
416,15,EDDY PINEIRO,CAR,109
417,15,KEVIN HARRIS,NE,18.3
418,15,AUSTIN HOOPER,NE,23.4
419,15,KAVONTAE TURPIN,DAL,47.7
420,15,MAC JONES,JAC,118.4
421,15,CHARLIE JONES,CIN,13.7
422,15,ANDERS CARLSON,GB,125
423,15,CODY SCHRADER,SF,0
424,15,JAMARI THRASH,CLE,0
425,15,MALIK DAVIS,DAL,0
426,15,AMEER ABDULLAH,LV,22
427,15,ZACH EVANS,LAR,1.9
428,15,QUEZ WATKINS,PIT,20.2
429,15,MACK HOLLINS,BUF,25.1
430,15,BRAXTON BERRIOS,MIA,30.9
431,15,WILL MALLORY,IND,20.7
432,15,DEEJAY DALLAS,ARI,2.2
433,15,NYHEIM HINES,CLE,0
434,15,FOSTER MOREAU,NO,25.3
435,15,MECOLE HARDMAN,KC,10.7
436,15,JARED WILEY,KC,0
437,15,NICK FOLK,TEN,131
438,15,TYLER GOODSON,IND,12.1
439,15,DEON JACKSON,FA,-1
440,15,DAVID BELL,CLE,34.7
441,15,CHRIS MOORE,ARI,46.3
442,15,RYAN FLOURNOY,DAL,0
443,15,TYQUAN THORNTON,NE,14.2
444,15,LEONARD FOURNETTE,FA,4
445,15,BOSTON SCOTT,LAR,11.8
446,15,SPENCER RATTLER,NO,0
447,15,DURHAM SMYTHE,MIA,36.6
448,15,JOSHUA KARTY,LAR,0
449,15,KYLE PHILIPS,TEN,16.1
450,15,JUSTYN ROSS,KC,5.3
451,15,BLAKE WATSON,DEN,0
452,15,ROBERT TONYAN,MIN,11.2
453,15,JAMISON CROWDER,WAS,19.9
454,15,JAKE BOBO,SEA,37.9
455,15,DENZEL MIMS,JAC,0
456,15,CHRIS EVANS,CIN,1.1
457,15,KENE NWANGWU,MIN,1.3
458,15,AJ BARNER,SEA,0
459,15,KENDALL MILTON,PHI,0
460,15,JAMYCAL HASTY,NE,0
461,15,COLE TURNER,WAS,12
462,15,JERROD MEANS,NO,0
463,15,CASEY WASHINGTON,ATL,0
464,15,DYAMI BROWN,WAS,23
465,16,DERIUS DAVIS,LAC,20.7
466,16,LUKE SCHOONMAKER,DAL,18.5
467,16,ISAIAH MCKENZIE,NYG,5.6
468,16,MICHAEL WILEY,WAS,0
469,16,IRV SMITH,KC,15.5
470,16,TERRACE MARSHALL,CAR,13.9
471,16,ANTHONY GOULD,IND,0
472,16,ANDY DALTON,CAR,23.6
473,16,LAVISKA SHENAULT,SEA,11.5
474,16,MARCUS MARIOTA,WAS,12.8
475,16,TREY LANCE,DAL,0
476,16,ISAIAH HODGINS,NYG,39
477,16,JHAQUAN JACKSON,TEN,0
478,16,DILLON JOHNSON,TEN,0
479,16,KYLE JUSZCZYK,SF,24.5
480,16,CORNELIUS JOHNSON,LAC,0
481,16,KAYSHON BOUTTE,NE,1.9
482,16,TYROD TAYLOR,NYJ,90.3
483,16,BROCK WRIGHT,DET,15.1
484,16,DARRELL HENDERSON,FA,33.5
485,16,DAIJUN EDWARDS,PIT,0
486,16,JIMMY GAROPPOLO,LAR,73.1
487,16,PATRICK TAYLOR,SF,19
488,16,MO ALIE-COX,IND,36.1
489,16,HASSAN HASKINS,TEN,0
490,16,LUCAS KRULL,DEN,15.5
491,16,RAHEEM BLACKSHEAR,CAR,11.1
492,16,EMANI BAILEY,KC,0
493,16,TRENT SHERFIELD,MIN,14.6
494,16,TIP REIMAN,ARI,0
495,16,JORDAN AKINS,CLE,13.2
496,16,GARY BRIGHTWELL,FA,6.6
497,16,CHRISTOPHER BROOKS,MIA,10.6
498,16,AVERY WILLIAMS,ATL,0
499,16,MYCOLE PRUITT,PIT,17
500,16,RYAN TANNEHILL,FA,87
501,16,KEILAN ROBINSON,JAC,0
502,16,HARRISON BRYANT,LV,24.9
503,16,PHARAOH BROWN,SEA,24.8
504,16,OLAMIDE ZACCHEAUS,WAS,28.4
505,16,EMANUEL WILSON,GB,10.8
506,16,JORDAN WHITTINGTON,LAR,0
507,16,DALLIN HOLKER,NO,0
