PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"66",7,"K.J. Osborn",MIN,"9.2","5.3","3.5","38.2","0.3","0.2","0.4","0.0"
"67",7,"Isaiah Hodgins",NYG,"11.1","5.3","4.1","43.6","0.4","0.0","0.0","0.0"
"68",7,"Curtis Samuel",WAS,"10.4","5.4","3.8","38.6","0.2","2.2","11.0","0.1"
"69",7,"Jonathan Mingo",CAR,"0","0","0","0","0","0","0","0"
"70",7,"Van Jefferson",LAR,"7.9","4.4","2.4","36.9","0.3","0.0","0.0","0.0"
"71",8,"Marvin Mims Jr.",DEN,"0","0","0","0","0","0","0","0"
"72",8,"Hunter Renfrow",LV,"7.9","5.0","3.6","33.0","0.2","0.0","0.0","0.0"
"73",8,"Rashid Shaheed",NO,"8.4","2.8","2.3","40.7","0.2","0.3","4.8","0.1"
"74",8,"Robert Woods",HOU,"6.8","5.4","3.1","31.0","0.1","0.0","0.0","0.0"
"75",8,"Parris Campbell",NYG,"8.8","5.4","3.7","36.6","0.2","0.3","3.4","0.0"
"76",8,"Marquez Valdes-Scantling",KC,"7.2","4.8","2.5","40.4","0.1","0.1","-0.2","0.0"
"77",8,"Darius Slayton",NYG,"9.9","5.5","3.5","55.7","0.2","0.0","0.0","0.0"
"78",8,"Jayden Reed",GB,"0","0","0","0","0","0","0","0"
"79",8,"DeVante Parker",NE,"7.9","3.6","2.4","41.5","0.2","0.0","0.0","0.0"
"80",8,"Rashee Rice",KC,"0","0","0","0","0","0","0","0"
"81",8,"John Metchie III",HOU,"0","0","0","0","0","0","0","0"
"82",8,"Chase Claypool",CHI,"7.0","5.3","3.1","30.1","0.1","0.6","3.9","0.0"
"83",8,"Jalin Hyatt",NYG,"0","0","0","0","0","0","0","0"
